,prod_name,price,old_price,price_ml,stars,reviews,delivery_date
95,"Revlon Professional intragen xxl-cosmetic trich Technology – Champú Loss, 1er Pack (1 x 1 l)",36.0,,3.6,4.7,29.0,
96,ProYou Care Revlon Repair Shampoo For Damaged Hair Champú - 1000 ml (929-77055),14.89,,1.49,4.3,27.0,
97,"Revlon Professional intragen xxl-cosmetic trich Technology – Champú Loss, 1er Pack (1 x 1 l)",36.0,,3.6,4.7,29.0,
98,Revlon Equave Kit Blonde Conditiner 200ml & Shampoo 250ml,15.99,,799.5,4.1,18.0,
99,REVLON PROFESSIONAL Uniq One All In One Hair Treatment,,,,4.7,679.0,
100,Revlon Be Fabulous Smooth Mask Mascarilla - 500 ml,22.89,,4.58,4.5,21.0,
101,"REVLON PROFESSIONAL Total Color Care Antifading Shampoo Champú, 1000 ml",,,,4.3,21.0,
102,Revlon Proyou Repair Shampoo For Damaged Hair Champú - 350 ml,9.4,,2.69,4.2,8.0,6 de abril
103,"Natural - ACONDICIONADOR - Para CABELLO SECO - COCO, ALMENDRA, JOJOBA, GERANIO Y LAVANDA - 250 ml - por POO FREE - Sin Sulfatos, Sin Parabenos, Sin Silicona. Concentrado, Fàcil de Enjuagar.",17.99,,7.2,4.2,20.0,6 de abril
104,"Acondicionador para cabello da&ntilde;ado por el sol Revlon equave Instant Beauty Sun Protection detang Ling, 50&nbsp;ml",5.95,,11.9,4.1,6.0,
105,Revlon Be Fabulous Daily Care Acondicionador Cuidado Diario para Cabello Normal 750 ml,,,,4.5,22.0,
106,Revlon Total Color Care Antifading Acondicionador - 750 ml,6.99,,,4.5,2.0,6 de abril
107,"Revlon, Cuidado del pelo y del cuero cabelludo - 150 ml.",5.48,,3.65,4.5,82.0,6 de abril
108,Revlon Equave Instant Beauty Hydro Detangling Shampoo 1000 ml - 1000 ml,23.31,,,5.0,2.0,
109,REVLON Equave Hydro Acondicionador,12.15,,6.08,4.6,352.0,8 de abril
110,Revlon Professional Nutri Color Creme Tinte Tono 812 Light Pearly Beige Blonde - 100 ml (7241324812),,,,4.2,113.0,
111,"Revlon, Cuidado del pelo y del cuero cabelludo - 250 ml.",18.93,,7.57,4.6,31.0,
112,Revlon Eksperience Hydro Nutritive Spray 190 Ml 1 Unidad 190 g,17.63,,9.28,4.8,50.0,
113,"Revlon ProYou Care Color Shampoo Champú, 1000 ml",16.86,,1.69,4.0,12.0,
114,"Revlon, Cuidado del pelo y del cuero cabelludo - 250 ml.",15.27,,6.11,4.5,17.0,
115,Revlon Equave Instant Beauty Blonde Detangling Acondicionador 200 ml,8.4,,4.2,4.7,239.0,
116,Revlon Professional Equave Champú Micelar Todo Tipo de Cabello 250 ml,8.51,,,4.6,55.0,6 de abril
117,Revlon Professional ProYou Boosters Reparador 10 x 15 ml,10.71,,7.14,,,
118,Revlon Be Fabulous Hair Recovery Paso 1 Tratamiento Capilar - 250 ml,8.0,,3.2,4.7,14.0,6 de abril
119,Revlon Eksperience Color Protection Blond-Grey Hair Cleanser 250 Ml - 250 ml,20.1,,,4.6,16.0,6 de abril
120,Revlon UniqOne Classic Pack de Tratamiento para el Cabello (Champú 300 ml y Tratamiento Capillar 150ml),15.9,18.9,,4.6,570.0,
121,Revlon Be Fabulous Hair Recovery Paso 3 Tratamiento Capilar - 250 ml,7.72,11.46,3.09,4.7,9.0,6 de abril
122,"Revlon&nbsp;Professional &ndash;&nbsp;Mascarilla Uniq One 300&nbsp;ml + pulverizador 150&nbsp;ml, cuidado capilar para cabello seco y castigado, todo en un&nbsp;uno, gama Revlon Professional",20.89,,,4.5,201.0,
123,"Revlon Blonderful 7 Polvo Decolorante - 750 gr, lila",,,,4.2,14.0,
124,"Revlon Nutri Color Cream - Cuidado capilar, 500 purple red ,100 ml",14.48,,14.48,4.5,196.0,6 de abril
125,REVLON PROFESSIONAL Elixir orofluido 25 ml,,,,4.6,140.0,
126,Revlon Be Fabulous Daily Care Champú Cuidado Diario para Cabello Normal 250 ml,,,,4.5,70.0,
127,Revlon Be Fabulous Smooth Mask Mascarilla - 200 ml,13.59,,6.8,4.3,59.0,
128,"Revlon, Cuidado del pelo y del cuero cabelludo - 150 ml.",18.14,,,4.6,249.0,
129,Revlon Be Fabulous Daily Care Mascarilla para Cabello Fino 200 ml,7.33,9.0,3.67,4.5,60.0,6 de abril
130,Novex Creme De Pentear Novex Meus Cachos Intensos 500G 500 ml,10.24,,2.05,,,
131,Revlon Professional proyou Hair Loss Rose Mary and HOPS extracts – hairloss Champú,14.08,,4.02,,,
132,Revlon Eksperience Scalp Comfort Dermo Calm Hair Cleanser 1000 Ml 1 Unidad 50 ml,,,,4.0,10.0,
133,Revlon Be Fabulous Texture Care Champú Definidor de Rizos para Cabello Rizado - 1000 ml,,,,4.0,20.0,
134,Revlon Style Masters Strong Sculpted Curls Tratamiento Capilar - 150 ml,14.18,,9.45,4.2,177.0,6 de abril
135,L'Oréal Professionnel Champú Vitamino 500 ml,13.5,,2.7,4.7,2645.0,6 de abril
136,Revlon Be Fabulous Daily Care Mascarilla para Cabello Fino 500 ml,7.33,14.39,1.47,4.6,57.0,
137,Revlon Professional ProYou Acondicionador Hidratante 350 ml,6.43,,1.84,,,
138,Proyou Care Revlon 929-14241 Proyou Color Treatment Tratamiento Capilar - 500 ml,9.99,13.59,2.0,4.2,30.0,6 de abril
139,Revlon Professional Equave Hydro Nutritive - Acondicionador (200 ml = 1200 ml),,,,5.0,4.0,
140,"Revlon 58072 - Champú, 1000 ml",16.89,,1.69,4.2,33.0,
141,"Revlon Be Fabulous Daily Care Normal Cream Shampoo, 1000 ml",29.08,,,5.0,3.0,6 de abril
142,Matrix Champú Neutralizador de Tonos Amarillos,6.9,9.5,,4.4,1367.0,6 de abril
143,REVLON PROFESSIONAL Sulfate Free 45 Days Intense Coppers 275ml + Nutri Color 400 100ml,22.0,,5.87,4.5,4.0,
144,"Bed Head by Tigi – Urban Antidotes Resurrection, champú para pelo dañado, 750 ml",7.15,,0.95,4.4,457.0,6 de abril
145,"Revlon, Cuidado del pelo y del cuero cabelludo - 125 ml.",,,,4.7,4.0,
146,ProYou Care anti-hair loss shampoo 350 ml,12.0,,3.43,4.2,58.0,
147,Revlon Orofluido Acondicionador 200 ml,9.59,,4.8,4.2,53.0,
148,L'Oréal Professionnel Nutrifier,7.15,21.25,1.43,4.3,2036.0,
149,REVLON PROFESSIONAL Sulfate Free 45 Days Intense Coppers 275ml + Nutri Color 400 100ml,22.0,,5.87,4.5,4.0,
150,Revlon Be Fabulous Daily Care Crema Acondicionadora para Cabello Fino 250 ml,8.0,,3.2,4.1,22.0,6 de abril
151,"Revlon Equave Instant Beauty Nutritive Conditioner, 500ml",17.45,,,,,
152,Revlon Be Fabulous Daily Care Mascarilla Cuidado Diario para Cabello Normal 500 ml,17.87,,3.57,4.5,20.0,
153,Revlon Proyou Purifying Detoxifying&Balancing Shampoo Champú - 350 ml,11.74,,3.35,3.9,5.0,6 de abril
154,Schwarzkopf Professional Blondme Keratine Restore Mascarilla - 200 ml,12.95,,6.48,4.4,1911.0,6 de abril
155,"Revlon, Cuidado del pelo y del cuero cabelludo - 1000 ml.",,,,4.7,17.0,
156,Moroccanoil Tratamiento,37.57,,37.57,4.6,31655.0,6 de abril
157,Revlon Be Fabulous Hair Recovery Acondicionador de Keratina para Cabello Dañado 250 ml,,,,4.2,171.0,
158,Revlon Professional 8007376030732 proyou Repair sōya and wheat proteína extracts Repair Champú for Damaged Hair,,,,5.0,1.0,
159,"Revlon - Champ&uacute; profesional anticaspa ProYou, 350&nbsp;ml",9.95,,,5.0,4.0,
160,OROFLUIDO Mask Mascarilla - 250 ml,6.25,11.57,2.5,4.5,126.0,6 de abril
161,Revlon Equave Instant Beauty Sun Protect Acondicionador 200 ml,7.9,,3.95,4.3,111.0,
162,Revlon Be Fabulous Daily Care Mascarilla Cuidado Diario para Cabello Normal 200 ml,12.99,,6.5,4.1,24.0,
163,Revlon Eksperience Anti Hair Loss Revitalizing Lotion 12 X 7 Ml 1 Unidad 100 g,34.07,,486.71,4.7,5.0,
164,Revlon Magnet Anti-Pollution Micellar Cleanser 250 ml,5.0,9.9,2.0,4.6,32.0,6 de abril
165,L'Oréal Professionnel Mascarilla Curl Contour 250 ml,16.77,,6.71,4.4,428.0,6 de abril
166,REVLON NUTRI COLOR 713/BEIGE ESCAR 270ML,20.37,,7.54,4.2,209.0,
167,"Wella SP Repair Conditioner Unisex 200 ml Professional hair conditioner - Acondicionadores (Unisex, 200 ml, Professional hair conditioner, Reparación, 1 pieza(s))",9.89,,4.95,3.2,4.0,6 de abril
168,REVLON NUTRI COLOR 300/AMARILLO 100ML,,,,4.2,5.0,
169,"Revlon, Cuidado del pelo y del cuero cabelludo - 900 ml.",,,,4.6,41.0,
170,Revlon Eksperience Hydro Nutritive Mask 200 Ml 1 Unidad 200 g,27.56,,13.78,4.4,27.0,
171,"Be Natural Pack de Alisado Profesional Brasileño + Pack Postalisado Lisso Keratina, Blanco",21.95,29.99,,4.2,148.0,6 de abril
172,REVLON EQUAVE INSTANT BEAUTY HYDRO NUTRITIVE CONDITIONER 500 ML,22.51,,4.5,4.5,157.0,6 de abril
173,"Revlon, Cuidado del pelo y del cuero cabelludo - 250 ml.",18.9,,7.56,4.7,29.0,6 de abril
174,Revlon Be Fabulous Daily Care Serum Anti Edad para Cabello Normal 80 ml,,,,3.9,6.0,
175,"Acondicionador para desenredar Equave Hydro Nutritive de Revlon, 500&nbsp;ml",17.77,,,4.7,1234.0,
176,REVLON NUTRI COLOR 000/BLANCO 100ML,10.87,,10.87,3.4,18.0,
177,REVLON PROFESSIONAL Sulfate Free 45 Days Radiant Darks 275ml + Nutri Color 411 100ml,,,,5.0,1.0,
178,Revlon Eksperience Sun Pro Marine Shampoo 250 ml - 250 ml,,,,4.3,16.0,
179,Revlon Style Masters Acondicionador Suavizante 250 ml,19.51,,,5.0,1.0,6 de abril
