,prod_name,price_whole,price_bulk,price_old,stars,reviews,delivery_date
95,"CHAMPU 0% SULFATOS 1 LITRO - SIN SULFATOS, SIN PARABENOS, SIN SILICONAS, SIN SAL, SIN COLORANTES Y SIN PHENOXYETHANOL","21,90","(21,90 €/l)",,"3,9 de 5 estrellas",7.0,
96,SCHWARZKOPF BONACURE Q10+ TIME RESTORE CHAMPÚ 1000ML,,,,"4,7 de 5 estrellas",303.0,
97,L'Oréal Professionnel Mascarilla Curl Contour 250 ml,"16,40","(6,56 €/100 ml)",,"4,4 de 5 estrellas",436.0,"jueves, 8 de abril"
98,"L'Oreal Serie Expert Liss Unlimited, Mascarilla suavizante intenso, 500 ml","16,20","(3,24 €/100 ml)",,"4,4 de 5 estrellas",957.0,
99,"L'Oréal Serie Expert Volumetry Mascarilla, 500ml","20,76","(4,15 €/100 ml)",,"4,3 de 5 estrellas",38.0,"jueves, 8 de abril"
100,"Schwarzkopf, Champú - 1 unidad","16,12","(1,61 €/100 ml)",,"4,4 de 5 estrellas",55.0,"mañana, 7 de abril"
101,Sebastian Sebastian Texturizer 150 ml,"24,25","(16,17 €/100 ml)",,"4,5 de 5 estrellas",24.0,"mañana, 7 de abril"
102,Revlon Professional ProYou Champú Cuidado del Color,"16,20","(1,62 €/100 ml)",,"4,4 de 5 estrellas",78.0,
103,Schwarzkopf Professional BC Collagen Volume Boost Champú Micelar - 250 ml,"5,35","(5,35 €/unidad)","10,61 €","4,3 de 5 estrellas",339.0,"mañana, 7 de abril"
104,Spa Master Profesional Champú Reparador con 5 Aceites 330 ml pH 5.5,"11,95","(3,62 €/100 ml)",,"4,0 de 5 estrellas",1.0,"mañana, 7 de abril"
105,"Schwarzkopf, Cuidado del Pelo y del Cuero Cabelludo - 1 Unidad","9,66","(9,66 €/unidad)",,"4,6 de 5 estrellas",17.0,"jueves, 8 de abril"
106,"Macadamia Nourishing Moisture Champú, 1.000 ml","26,81","(2,68 €/100 ml)",,"4,6 de 5 estrellas",325.0,"mañana, 7 de abril"
107,L'Oreal Vitamino Color - Champú Capilar - 1500 ml,"28,90","(1,93 €/100 ml)",,"4,7 de 5 estrellas",1.165,
108,Loreal Pro Classics Concentrated 1500Ml,"21,56","(1,44 €/100 ml)",,"4,5 de 5 estrellas",7.0,"jueves, 8 de abril"
109,Profesional Cosmetics Placentinol Active pack 6 semanas. Tratamiento crecepelos,"24,05","(3,01 €/unidad)",,"4,7 de 5 estrellas",5.0,"mañana, 7 de abril"
110,"Profesional Cosmetics Placentinol Champú Prevención de la Caída del Cabello, 1000 ml, Pack de 1","15,30","(1,53 €/100 ml)","16,05 €","4,1 de 5 estrellas",9.0,
111,Schwarzkopf Professional BC Champú Volume Boost Miscelar 1000 ml,"16,14","(1,61 €/100 ml)",,"4,5 de 5 estrellas",285.0,"mañana, 7 de abril"
112,Válquer Champú Especial de Clorofila para peluquería. Champú para profesional-5000ML,"18,44","(0,37 €/100 ml)",,"3,8 de 5 estrellas",38.0,
113,Profesional Cosmetics Borganik Antifrizz Shampoo - Champú sin sulfatos 3 en 1 para pelo encrespado - 500 ml.,"13,48","(2,70 €/100 ml)","14,00 €","3,6 de 5 estrellas",6.0,
114,Revlon Professional ProYou Champú Reparador,"4,98","(1,42 €/100 ml)",,"4,0 de 5 estrellas",81.0,"jueves, 8 de abril"
115,TRESEMMÉ champú liso keratina bote 400 ml,"2,94","(0,74 €/100 ml)","3,49 €","4,4 de 5 estrellas",111.0,"mañana, 7 de abril"
116,"L'Oréal Professionnel - Acondicionador Pro Longer Renovador de Puntas, Único, 200 Mililitros","10,60","(10,60 €/unidad)",,"4,6 de 5 estrellas",226.0,"mañana, 7 de abril"
117,Wella Elements Renewing Mask 500 Ml 1 Unidad 500 g,"18,28","(3,66 €/100 ml)",,"4,7 de 5 estrellas",18.0,"mañana, 7 de abril"
118,KLISA - Kit de alisado profesional,"19,42","(19,42 €/unidad)","21,90 €","3,0 de 5 estrellas",32.0,"mañana, 7 de abril"
119,L'Oréal Professionnel Champú Liss 300 ml,"6,25","(2,08 €/100 ml)",,"4,1 de 5 estrellas",212.0,"mañana, 7 de abril"
