year,week,date,track,artists,url,track_popularity,track_name,track_artists,track_album_name,track_href,track_album_release_date,owner_id
2012,39,29 de septiembre,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,11.0,Call Me Maybe,['Carly Rae Jepsen'],Call Me Maybe,https://api.spotify.com/v1/tracks/5unfeZUhKhICP73CDYBW4N,2012-01-01,elsapato
2012,30,28 de julio,Payphone,"['Maroon 5', 'Wiz Khalifa']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,73.0,Payphone,"['Maroon 5', 'Wiz Khalifa']",Overexposed Track By Track,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A,2012-01-01,elsapato
2012,30,28 de julio,Payphone,"['Maroon 5', 'Wiz Khalifa']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,51.0,Payphone,"['Maroon 5', 'Wiz Khalifa']",Overexposed (Deluxe),https://api.spotify.com/v1/tracks/4P0osvTXoSYZZC2n8IFH3c,2012-01-01,42416345k
2012,31,4 de agosto,Dance Again,"['Jennifer Lopez', 'Pitbull']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,61.0,Dance Again,"['Jennifer Lopez', 'Pitbull']",Dance Again...The Hits,https://api.spotify.com/v1/tracks/4d2hD63oUGU3s7L66JD0BE,2012-07-20,popersea
2012,36,8 de septiembre,Drive By,['Train'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,11.0,Drive By,['Train'],Drive By,https://api.spotify.com/v1/tracks/1wAXODAAL6hY64ZdhrnjBO,2012-01-10,elsapato
2012,46,17 de noviembre,Set Fire to the Rain,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,71.0,Set Fire to the Rain,['Adele'],21,https://api.spotify.com/v1/tracks/3CKCZ9pfwAfoMZlMncA1Nc,2011-01-19,dannig012
2012,46,17 de noviembre,Set Fire to the Rain,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,70.0,Set Fire to the Rain,['Adele'],21,https://api.spotify.com/v1/tracks/5PKWUDfQFtc5qqo8cs1gQp,2011-01-19,popersea
2012,48,1 de diciembre,Set Fire to the Rain,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,71.0,Set Fire to the Rain,['Adele'],21,https://api.spotify.com/v1/tracks/3CKCZ9pfwAfoMZlMncA1Nc,2011-01-19,dannig012
2012,48,1 de diciembre,Set Fire to the Rain,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,70.0,Set Fire to the Rain,['Adele'],21,https://api.spotify.com/v1/tracks/5PKWUDfQFtc5qqo8cs1gQp,2011-01-19,popersea
2012,49,8 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,69.0,Diamonds,['Rihanna'],Unapologetic (Deluxe),https://api.spotify.com/v1/tracks/6O20JhBJPePEkBdrB5sqRx,2012-12-11,aechos
