year,week,date,track,artists,url
2011,48,26 de noviembre,We Found Love,"['Rihanna', 'Calvin Harris']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,49,3 de diciembre,We Found Love,"['Rihanna', 'Calvin Harris']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,50,10 de diciembre,Moves like Jagger,"['Maroon 5', 'Christina Aguilera']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,51,17 de diciembre,Titanium,"['David Guetta', 'Sia']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,52,24 de diciembre,Titanium,"['David Guetta', 'Sia']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2011,53,31 de diciembre,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011
2012,1,7 de enero,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,2,14 de enero,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,3,21 de enero,Ai se eu te pego!,['Michel Teló'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,4,28 de enero,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,5,4 de febrero,Got 2 Luv U,"['Sean Paul', 'Alexis Jordan']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,6,11 de febrero,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,7,18 de febrero,Cometas por el cielo,['La Oreja de Van Gogh'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,8,25 de febrero,Good Feeling,['Flo Rida'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,9,3 de marzo,Stereo Hearts,"['Gym Class Heroes', 'Adam Levine']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,10,10 de marzo,Stereo Hearts,"['Gym Class Heroes', 'Adam Levine']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,11,17 de marzo,Hangover,"['Taio Cruz', 'Flo Rida']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,12,24 de marzo,International Love,"['Pitbull', 'Chris Brown']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,13,31 de marzo,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,14,7 de abril,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,15,14 de abril,Yo te esperaré,['Cali & el Dandee'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,16,21 de abril,Yo te esperaré,['Cali & el Dandee'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,17,28 de abril,Yo te esperaré,['Cali & el Dandee'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,18,5 de mayo,Te he echado de menos,['Pablo Alborán'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,19,12 de mayo,Someone like You,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,20,19 de mayo,Stronger (What Doesn't Kill You),['Kelly Clarkson'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,21,26 de mayo,Yo te esperaré,['Cali & el Dandee'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,22,2 de junio,Boys Will Be Boys,['Paulina Rubio'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,23,9 de junio,Te he echado de menos,['Pablo Alborán'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,24,16 de junio,Somebody That I Used to Know,"['Gotye', 'Kimbra']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,25,23 de junio,Somebody That I Used to Know,"['Gotye', 'Kimbra']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,26,30 de junio,Euphoria,['Loreen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,27,7 de julio,No hay 2 sin 3 (Gol),"['Cali & el Dandee', 'David Bisbal']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,28,14 de julio,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,29,21 de julio,Euphoria,['Loreen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,30,28 de julio,Payphone,"['Maroon 5', 'Wiz Khalifa']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,31,4 de agosto,Dance Again,"['Jennifer Lopez', 'Pitbull']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,32,11 de agosto,Tacata',['Tacabro'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,33,18 de agosto,Rayos de sol,"['José de Rico', 'Henry Méndez']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,34,25 de agosto,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,35,1 de septiembre,We Are Young,"['Fun.', 'Janelle Monáe']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,36,8 de septiembre,Drive By,['Train'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,37,15 de septiembre,Whistle,['Flo Rida'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,38,22 de septiembre,Pan y mantequilla,['Efecto Pasillo'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,39,29 de septiembre,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,40,6 de octubre,Whistle,['Flo Rida'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,41,13 de octubre,Te voy a esperar,"['Juan Magán', 'Belinda']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,42,20 de octubre,Te voy a esperar,"['Juan Magán', 'Belinda']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,43,27 de octubre,Se vende,['Alejandro Sanz'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,44,3 de noviembre,Tanto,['Pablo Alborán'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,45,10 de noviembre,Tanto,['Pablo Alborán'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,46,17 de noviembre,Set Fire to the Rain,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,47,24 de noviembre,Tanto,['Pablo Alborán'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,48,1 de diciembre,Set Fire to the Rain,['Adele'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,49,8 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,50,15 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,51,22 de diciembre,This Is Love,"['will.i.am', 'Eva Simons']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2012,52,29 de diciembre,Gangnam Style,['PSY'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012
2013,1,5 de enero,Gangnam Style,['PSY'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,2,12 de enero,We Are Never Ever Getting Back Together,['Taylor Swift'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,3,19 de enero,Girl On Fire,['Alicia Keys'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,4,26 de enero,Die Young,['Kesha'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,5,2 de febrero,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,6,9 de febrero,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,7,16 de febrero,Don't You Worry Child,"['Swedish House Mafia', 'John Martin']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,8,23 de febrero,Lágrimas desordenadas,['Melendi'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,9,2 de marzo,Scream & Shout,"['will.i.am', 'Britney Spears']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,10,9 de marzo,Scream & Shout,"['will.i.am', 'Britney Spears']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,11,16 de marzo,Locked Out of Heaven,['Bruno Mars'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,12,23 de marzo,Try,['Pink'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,13,30 de marzo,Hall of Fame,"['The Script', 'will.i.am']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,14,6 de abril,Feel This Moment,"['Pitbull', 'Christina Aguilera']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,15,13 de abril,Feel This Moment,"['Pitbull', 'Christina Aguilera']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,16,20 de abril,No importa que llueva,['Efecto Pasillo'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,17,27 de abril,Ho Hey,['The Lumineers'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,18,4 de mayo,Feel This Moment,"['Pitbull', 'Christina Aguilera']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,19,11 de mayo,Tu jardín con enanitos,['Melendi'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,20,18 de mayo,Impossible,['James Arthur'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,21,25 de mayo,Tu jardín con enanitos,['Melendi'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,22,1 de junio,Heartbreaker,['Auryn'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,23,8 de junio,Impossible,['James Arthur'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,24,15 de junio,Thrift Shop,"['Macklemore & Ryan Lewis', 'Wanz']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,25,22 de junio,Get Lucky,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers', 'Stevie Wonder']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,26,29 de junio,Get Lucky,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers', 'Stevie Wonder']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,27,6 de julio,I Could Be the One,"['Avicii', 'Nicky Romero']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
2013,28,13 de julio,Let Her Go,['Passenger'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013
