,date,open,close,volume,change,changePercent,vwap
92,2015-07-02,96.13,96.17,3250900.0,-0.04,-0.042,96.11667
93,2015-07-06,95.89,95.65,3852500.0,0.24,0.25,95.72667
94,2015-07-07,95.93,96.68,4794400.0,-0.75,-0.782,96.23333
95,2015-07-08,95.65,95.84,4914300.0,-0.19,-0.199,96.02667
96,2015-07-09,96.64,96.49,5482500.0,0.15,0.155,96.73333
97,2015-07-10,97.25,97.65,5179200.0,-0.4,-0.411,97.46
98,2015-07-13,98.0,98.43,4578700.0,-0.43,-0.439,98.21333
99,2015-07-14,98.12,98.78,5746100.0,-0.66,-0.673,98.59667
100,2015-07-15,98.15,99.07,7572500.0,-0.92,-0.937,98.85
101,2015-07-16,99.11,97.86,7696200.0,1.25,1.261,98.06
102,2015-07-17,97.7,97.5,6429800.0,0.2,0.205,97.57333
103,2015-07-20,97.78,97.49,4947000.0,0.29,0.297,97.7
104,2015-07-21,97.6,97.32,4206700.0,0.28,0.287,97.33333
105,2015-07-22,97.71,97.58,5392600.0,0.13,0.133,97.75333
106,2015-07-23,98.9,97.09,10380700.0,1.81,1.83,97.41333
107,2015-07-24,97.41,96.1,5554600.0,1.31,1.345,96.53333
108,2015-07-27,96.0,96.04,5818600.0,-0.04,-0.042,96.16333
109,2015-07-28,96.48,97.33,4863000.0,-0.85,-0.881,97.02333
110,2015-07-29,97.48,98.21,6006500.0,-0.73,-0.749,97.86667
111,2015-07-30,97.59,99.17,5372500.0,-1.58,-1.619,98.7
112,2015-07-31,99.65,99.86,7647000.0,-0.21,-0.211,100.08667
113,2015-08-03,100.0,99.42,4427300.0,0.58,0.58,99.54
114,2015-08-04,99.47,99.14,2842100.0,0.33,0.332,99.14333
115,2015-08-05,99.83,99.8,3560600.0,0.03,0.03,99.73333
116,2015-08-06,99.72,99.35,6740200.0,0.37,0.371,99.58
117,2015-08-07,99.29,98.92,3463700.0,0.37,0.373,98.93
118,2015-08-10,99.49,99.39,3994500.0,0.1,0.101,99.40333
119,2015-08-11,98.69,98.81,3585000.0,-0.12,-0.122,98.79
120,2015-08-12,98.27,98.28,4167100.0,-0.01,-0.01,97.98
121,2015-08-13,98.07,99.37,4636400.0,-1.3,-1.326,99.06
122,2015-08-14,99.05,99.27,3185600.0,-0.22,-0.222,99.18333
123,2015-08-17,99.0,100.66,5204100.0,-1.66,-1.677,100.16333
124,2015-08-18,100.0,100.76,4257300.0,-0.76,-0.76,100.73333
125,2015-08-19,100.45,101.1,5989000.0,-0.65,-0.647,101.05667
126,2015-08-20,100.73,99.76,6668000.0,0.97,0.963,100.16667
127,2015-08-21,99.38,97.13,10980000.0,2.25,2.264,97.88333
128,2015-08-24,91.58,92.87,15074800.0,-1.29,-1.409,92.08333
129,2015-08-25,95.47,91.21,11468800.0,4.26,4.462,92.57333
130,2015-08-26,92.93,95.15,16439800.0,-2.22,-2.389,93.94
131,2015-08-27,95.88,97.33,10187100.0,-1.45,-1.512,96.75667
132,2015-08-28,96.05,96.25,5606000.0,-0.2,-0.208,96.23333
133,2015-08-31,95.77,95.02,5086600.0,0.75,0.783,95.25
134,2015-09-01,92.77,93.47,7308400.0,-0.7,-0.755,93.45
135,2015-09-02,95.63,96.04,6908100.0,-0.41,-0.429,95.57
136,2015-09-03,96.8,96.01,6313900.0,0.79,0.816,96.34
137,2015-09-04,95.05,94.85,4429100.0,0.2,0.21,94.91333
138,2015-09-08,96.31,96.78,5771100.0,-0.47,-0.488,96.38333
139,2015-09-09,97.29,95.43,5129400.0,1.86,1.912,96.01333
140,2015-09-10,94.96,95.25,6210800.0,-0.29,-0.305,95.28333
141,2015-09-11,95.47,97.41,6656300.0,-1.94,-2.032,96.69667
142,2015-09-14,97.36,96.97,4557200.0,0.39,0.401,97.08667
143,2015-09-15,97.29,98.19,5142600.0,-0.9,-0.925,97.84
144,2015-09-16,98.65,98.69,5198700.0,-0.04,-0.041,98.32
145,2015-09-17,98.57,97.84,7955000.0,0.73,0.741,98.06667
146,2015-09-18,96.82,97.05,10492700.0,-0.23,-0.238,97.0
147,2015-09-21,97.48,97.9,4543500.0,-0.42,-0.431,97.69333
148,2015-09-22,97.12,97.2,6254500.0,-0.08,-0.082,97.33
149,2015-09-23,97.24,97.38,3035300.0,-0.14,-0.144,97.41333
150,2015-09-24,96.83,97.29,4138800.0,-0.46,-0.475,97.00667
151,2015-09-25,97.89,97.59,4825800.0,0.3,0.306,97.91667
152,2015-09-28,97.0,95.96,6609800.0,1.04,1.072,96.49333
153,2015-09-29,97.46,97.48,6944800.0,-0.02,-0.021,97.36
154,2015-09-30,98.21,98.53,5517600.0,-0.32,-0.326,98.33
155,2015-10-01,98.5,98.78,4456600.0,-0.28,-0.284,98.48333
156,2015-10-02,97.33,99.79,4400800.0,-2.46,-2.527,98.91
157,2015-10-05,100.27,101.17,6501600.0,-0.9,-0.898,101.00333
158,2015-10-06,101.26,101.9,7252400.0,-0.64,-0.632,101.78667
159,2015-10-07,100.75,101.77,6497100.0,-1.02,-1.012,101.33667
160,2015-10-08,101.85,102.95,8218900.0,-1.1,-1.08,102.73
161,2015-10-09,103.0,102.76,5756600.0,0.24,0.233,102.82333
162,2015-10-12,102.68,103.24,3448200.0,-0.56,-0.545,103.02
163,2015-10-13,102.85,103.38,4697300.0,-0.53,-0.515,103.17333
164,2015-10-14,104.15,102.82,9093000.0,1.33,1.277,103.39333
165,2015-10-15,102.57,103.66,10168300.0,-1.09,-1.063,103.48667
166,2015-10-16,104.72,104.82,7168300.0,-0.1,-0.095,104.41333
167,2015-10-19,104.24,104.49,7064300.0,-0.25,-0.24,104.59667
168,2015-10-20,104.05,103.84,4872200.0,0.21,0.202,103.87
169,2015-10-21,103.98,102.54,7979600.0,1.44,1.385,102.95667
170,2015-10-22,110.4,110.87,25286600.0,-0.47,-0.426,110.08333
171,2015-10-23,111.18,112.59,11677300.0,-1.41,-1.268,112.18667
172,2015-10-26,112.23,112.18,11478600.0,0.05,0.045,112.65333
173,2015-10-27,112.27,111.64,10013300.0,0.63,0.561,111.52667
174,2015-10-28,111.69,112.94,4390300.0,-1.25,-1.119,112.43
175,2015-10-29,112.66,112.62,3752600.0,0.04,0.036,112.48667
176,2015-10-30,112.88,112.25,6409500.0,0.63,0.558,112.59667
177,2015-11-02,112.46,112.11,5663000.0,0.35,0.311,112.06
178,2015-11-03,111.92,112.08,4584900.0,-0.16,-0.143,111.88667
179,2015-11-04,112.19,112.4,6797100.0,-0.21,-0.187,112.08
180,2015-11-05,112.6,112.85,5059100.0,-0.25,-0.222,112.81667
181,2015-11-06,112.4,113.31,4615600.0,-0.91,-0.81,112.97
182,2015-11-09,113.45,112.93,8423800.0,0.52,0.458,112.93667
183,2015-11-10,112.77,113.22,12716500.0,-0.45,-0.399,112.98667
184,2015-11-11,113.67,113.85,8387800.0,-0.18,-0.158,113.94
185,2015-11-12,113.5,112.11,5893800.0,1.39,1.225,112.63667
186,2015-11-13,111.85,109.97,8602400.0,1.88,1.681,110.74667
187,2015-11-16,109.85,111.06,6731800.0,-1.21,-1.102,110.57333
188,2015-11-17,111.04,110.94,6027600.0,0.1,0.09,111.07333
189,2015-11-18,111.3,112.53,5194500.0,-1.23,-1.105,111.98667
190,2015-11-19,112.53,113.3,5323500.0,-0.77,-0.684,113.10333
191,2015-11-20,113.36,113.91,6659400.0,-0.55,-0.485,113.75667
192,2015-11-23,114.01,114.47,4968400.0,-0.46,-0.403,114.42667
193,2015-11-24,113.9,114.28,6047700.0,-0.38,-0.334,114.06667
194,2015-11-25,114.27,114.4,7477200.0,-0.13,-0.114,114.42333
195,2015-11-27,113.71,114.23,2763700.0,-0.52,-0.457,114.05
196,2015-11-30,114.38,114.16,7872000.0,0.22,0.192,114.07
197,2015-12-01,114.52,114.45,5321900.0,0.07,0.061,114.39
198,2015-12-02,114.1,113.72,5692200.0,0.38,0.333,113.81333
199,2015-12-03,113.61,113.39,6558600.0,0.22,0.194,113.58
200,2015-12-04,113.75,116.2,7778200.0,-2.45,-2.154,115.33667
201,2015-12-07,115.81,116.42,4810700.0,-0.61,-0.527,116.22667
202,2015-12-08,115.95,116.53,4814200.0,-0.58,-0.5,116.21667
203,2015-12-09,116.21,116.58,7604700.0,-0.37,-0.318,116.59333
204,2015-12-10,116.61,117.2,5299900.0,-0.59,-0.506,116.97
205,2015-12-11,115.86,116.08,5736400.0,-0.22,-0.19,116.10333
206,2015-12-14,116.17,116.26,7660700.0,-0.09,-0.077,115.99333
207,2015-12-15,117.5,116.93,6118300.0,0.57,0.485,117.33667
208,2015-12-16,117.49,117.84,6306300.0,-0.35,-0.298,117.69333
209,2015-12-17,118.34,117.5,5275900.0,0.84,0.71,117.96333
210,2015-12-18,116.74,116.66,11238900.0,0.08,0.069,116.61
211,2015-12-21,116.96,117.69,3344600.0,-0.73,-0.624,117.34667
212,2015-12-22,117.96,117.72,4092000.0,0.24,0.203,117.46667
213,2015-12-23,118.02,118.8,3641900.0,-0.78,-0.661,118.46667
214,2015-12-24,118.75,118.57,1659300.0,0.18,0.152,118.68667
