url,season,number,airdate,runtime,summary,titles,ratings,total_votes
http://www.tvmaze.com/episodes/152766/game-of-thrones-5x06-unbowed-unbent-unbroken,5,6,2015-05-17,60,Arya trains. Jorah and Tyrion run into slavers. Trystane and Myrcella make plans. Jaime and Bronn reach their destination. The Sand Snakes attack.,"Unbowed, Unbent, Unbroken",8.0,"25,978"
http://www.tvmaze.com/episodes/153327/game-of-thrones-5x07-the-gift,5,7,2015-05-24,60,Jon prepares for conflict. Sansa tries to talk to Theon. Brienne waits for a sign. Stannis remains stubborn. Jaime attempts to reconnect with family.<br><br>,The Gift,9.0,"25,036"
http://www.tvmaze.com/episodes/155299/game-of-thrones-5x08-hardhome,5,8,2015-05-31,60,Arya makes progress in her training. Sansa confronts an old friend. Cersei struggles. Jon travels.<br><br>,Hardhome,9.9,"86,397"
http://www.tvmaze.com/episodes/160040/game-of-thrones-5x09-the-dance-of-dragons,5,9,2015-06-07,60,Stannis confronts a troubling decision. Jon returns to The Wall. Mace visits the Iron Bank. Arya encounters someone from her past. Dany reluctantly oversees a traditional celebration of athleticism.,The Dance of Dragons,9.5,"37,755"
http://www.tvmaze.com/episodes/162186/game-of-thrones-5x10-mothers-mercy,5,10,2015-06-14,60,Cersei seeks forgiveness; Jon faces a new challenge; Arya plots to cross a name off her list; Tyrion sees a familiar face; and Daenerys finds herself surrounded by strangers.,Mother's Mercy,9.1,"36,610"
http://www.tvmaze.com/episodes/560813/game-of-thrones-6x01-the-red-woman,6,1,2016-04-24,60,Jon Snow is dead. Daenerys meets a strong man. Cersei sees her daughter again.,The Red Woman,8.5,"35,592"
http://www.tvmaze.com/episodes/664672/game-of-thrones-6x02-home,6,2,2016-05-01,60,"Bran trains with the Three-Eyed Raven. In King's Landing, Jaime advises Tommen. Tyrion demands good news, but has to make his own. At Castle Black, the Night's Watch stands behind Thorne. Ramsay Bolton proposes a plan, and Balon Greyjoy entertains other proposals.",Home,9.4,"41,898"
http://www.tvmaze.com/episodes/664673/game-of-thrones-6x03-oathbreaker,6,3,2016-05-08,60,Daenerys meets her future. Bran meets the past. Tommen confronts the High Sparrow. Arya trains to be No One. Varys finds an answer. Ramsay gets a gift.,Oathbreaker,8.7,"29,789"
http://www.tvmaze.com/episodes/664674/game-of-thrones-6x04-book-of-the-stranger,6,4,2016-05-15,60,Tyrion strikes a deal. Jorah and Daario undertake a difficult task. Jaime and Cersei try to improve their situation.,Book of the Stranger,9.1,"32,061"
http://www.tvmaze.com/episodes/664675/game-of-thrones-6x05-the-door,6,5,2016-05-22,60,Tyrion seeks a strange ally. Bran learns a great deal. Brienne goes on a mission. Arya is given a chance to prove herself.,The Door,9.7,"63,040"
http://www.tvmaze.com/episodes/664676/game-of-thrones-6x06-blood-of-my-blood,6,6,2016-05-29,60,An old foe comes back into the picture. Gilly meets Sam's family. Arya faces a difficult choice. Jaime faces off against the High Sparrow.,Blood of My Blood,8.4,"29,602"
http://www.tvmaze.com/episodes/717449/game-of-thrones-6x07-the-broken-man,6,7,2016-06-05,60,The High Sparrow eyes another target. Jaime confronts a hero. Arya makes a plan. The North is reminded.,The Broken Man,8.6,"28,738"
http://www.tvmaze.com/episodes/729573/game-of-thrones-6x08-no-one,6,8,2016-06-12,60,"Jaime encounters a hero; the High Sparrow fixates on another prey; Arya hatches a new plan; Yara and Theon plot their next move; Olenna and Cersei discuss their families' futures.While Jaime weighs his options, Cersei answers a request. Tyrion's plans bear fruit. Arya faces a new test.",No One,8.4,"32,759"
http://www.tvmaze.com/episodes/729574/game-of-thrones-6x09-battle-of-the-bastards,6,9,2016-06-19,60,Ramsay surprises his audience. Jon retaliates. Dany is true to her word.,Battle of the Bastards,9.9,"183,936"
http://www.tvmaze.com/episodes/729575/game-of-thrones-6x10-the-winds-of-winter,6,10,2016-06-26,69,"Alliances are made, the High Sparrow is holding trials at King's Landing, Daenerys is sailing for the Seven Kingdoms and a new King of the North is crowned.",The Winds of Winter,9.9,"127,779"
http://www.tvmaze.com/episodes/937256/game-of-thrones-7x01-dragonstone,7,1,2017-07-16,60,Jon organizes the defense of the North. Cersei tries to even the odds. Daenerys comes home.,Dragonstone,8.6,"45,938"
http://www.tvmaze.com/episodes/1221410/game-of-thrones-7x02-stormborn,7,2,2017-07-23,60,Daenerys receives an unexpected visitor. Jon faces a revolt. Tyrion plans the conquest of Westeros.,Stormborn,8.9,"39,568"
http://www.tvmaze.com/episodes/1221411/game-of-thrones-7x03-the-queens-justice,7,3,2017-07-30,60,Daenerys holds court. Cersei returns a gift. Jaime learns from his mistakes.,The Queen's Justice,9.2,"41,262"
http://www.tvmaze.com/episodes/1221412/game-of-thrones-7x04-the-spoils-of-war,7,4,2017-08-06,60,Arya gets to the final destination. Daenerys takes it upon herself to strike back.,The Spoils of War,9.8,"78,445"
http://www.tvmaze.com/episodes/1221413/game-of-thrones-7x05-eastwatch,7,5,2017-08-13,60,Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.,Eastwatch,8.8,"39,336"
http://www.tvmaze.com/episodes/1221414/game-of-thrones-7x06-beyond-the-wall,7,6,2017-08-20,60,"Jon's mission continues north of the wall, but the odds against his ragged band of misfits may be greater than he imagined.",Beyond the Wall,9.1,"57,501"
http://www.tvmaze.com/episodes/1221415/game-of-thrones-7x07-the-dragon-and-the-wolf,7,7,2017-08-27,60,"Cersei sits on the Iron Throne; Daenerys sails across the Narrow Sea; Jon Snow is King in the North, and winter is finally here.",The Dragon and the Wolf,9.5,"57,028"
http://www.tvmaze.com/episodes/1590943/game-of-thrones-8x01-winterfell,8,1,2019-04-14,60,"Arriving at Winterfell, Jon and Daenerys struggle to unite a divided North. Jon gets some big news.",Winterfell,7.6,"121,011"
http://www.tvmaze.com/episodes/1623964/game-of-thrones-8x02-a-knight-of-the-seven-kingdoms,8,2,2019-04-21,60,Jaime faces judgement and Winterfell prepares for the battle to come.,A Knight of the Seven Kingdoms,7.9,"119,094"
http://www.tvmaze.com/episodes/1623965/game-of-thrones-8x03-the-long-night,8,3,2019-04-28,90,Winterfell fights the Army of the Dead.,The Long Night,7.5,"199,155"
http://www.tvmaze.com/episodes/1623966/game-of-thrones-8x04-the-last-of-the-starks,8,4,2019-05-05,78,The survivors plan their next steps; Cersei makes a power move.,The Last of the Starks,5.5,"151,814"
http://www.tvmaze.com/episodes/1623967/game-of-thrones-8x05-the-bells,8,5,2019-05-12,79,"Varys betrays his queen, and Daenerys brings her forces to King's Landing.",The Bells,6.0,"176,805"
http://www.tvmaze.com/episodes/1623968/game-of-thrones-8x06-the-iron-throne,8,6,2019-05-19,80,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",The Iron Throne,4.1,"218,157"
